,layer,similarity
0,layer_0,0.01450347900390625
1,layer_1,0.03173828125
2,layer_2,0.0213623046875
3,layer_3,0.00959014892578125
4,layer_4,0.00423431396484375
5,layer_5,0.0228729248046875
6,layer_6,0.00983428955078125
7,layer_7,0.0216064453125
8,layer_8,0.0153350830078125
9,layer_9,0.0311431884765625
10,layer_10,0.022125244140625
11,layer_11,0.0197601318359375
12,layer_12,0.010498046875
13,layer_13,0.040924072265625
14,layer_14,0.01824951171875
15,layer_15,0.00800323486328125
16,layer_16,0.0167388916015625
17,layer_17,0.01277923583984375
18,layer_18,0.075439453125
19,layer_19,0.0264129638671875
20,layer_20,0.0035533905029296875
21,layer_21,0.0305328369140625
22,layer_22,0.01812744140625
23,layer_23,0.051513671875
24,layer_24,0.029205322265625
25,layer_25,0.0208587646484375
26,layer_26,0.035369873046875
27,layer_27,0.049468994140625
28,layer_28,0.0265960693359375
29,layer_29,0.06353759765625
30,layer_30,0.039886474609375
31,layer_31,0.286376953125
32,layer_0,0.076416015625
33,layer_1,0.0009140968322753906
34,layer_2,0.004360198974609375
35,layer_3,0.00833892822265625
36,layer_4,0.0264434814453125
37,layer_5,0.048919677734375
38,layer_6,0.0440673828125
39,layer_7,0.042633056640625
40,layer_8,0.05419921875
41,layer_9,0.0596923828125
42,layer_10,0.01488494873046875
43,layer_11,0.0212249755859375
44,layer_12,0.01071929931640625
45,layer_13,0.044219970703125
46,layer_14,0.041015625
47,layer_15,0.0266876220703125
48,layer_16,0.01514434814453125
49,layer_17,0.05523681640625
50,layer_18,0.036407470703125
51,layer_19,0.0382080078125
52,layer_20,0.0045623779296875
53,layer_21,0.0012302398681640625
54,layer_22,0.036407470703125
55,layer_23,0.042388916015625
56,layer_24,0.00760650634765625
57,layer_25,0.021514892578125
58,layer_26,0.0027675628662109375
59,layer_27,0.055145263671875
60,layer_28,0.00933074951171875
61,layer_29,0.007534027099609375
62,layer_30,0.0199737548828125
63,layer_31,0.89794921875
64,layer_0,0.068115234375
65,layer_1,0.020751953125
66,layer_2,0.0233917236328125
67,layer_3,0.07781982421875
68,layer_4,0.054901123046875
69,layer_5,0.0156707763671875
70,layer_6,0.00820159912109375
71,layer_7,0.0288238525390625
72,layer_8,0.0021457672119140625
73,layer_9,0.0289459228515625
74,layer_10,0.0009093284606933594
75,layer_11,0.0007677078247070312
76,layer_12,0.005950927734375
77,layer_13,0.0201416015625
78,layer_14,0.051177978515625
79,layer_15,0.10272216796875
80,layer_16,0.1253662109375
81,layer_17,0.00823211669921875
82,layer_18,0.09735107421875
83,layer_19,0.140625
84,layer_20,0.05108642578125
85,layer_21,0.0859375
86,layer_22,0.0224609375
87,layer_23,0.020904541015625
88,layer_24,0.0963134765625
89,layer_25,0.038177490234375
90,layer_26,0.08795166015625
91,layer_27,0.032562255859375
92,layer_28,0.11273193359375
93,layer_29,0.1846923828125
94,layer_30,0.06878662109375
95,layer_31,0.1025390625
96,layer_0,0.046844482421875
97,layer_1,0.049468994140625
98,layer_2,0.0517578125
99,layer_3,0.07232666015625
100,layer_4,0.065673828125
101,layer_5,0.0733642578125
102,layer_6,0.0244140625
103,layer_7,0.0168914794921875
104,layer_8,0.01194000244140625
105,layer_9,0.035858154296875
106,layer_10,0.04754638671875
107,layer_11,0.005157470703125
108,layer_12,0.001026153564453125
109,layer_13,0.00524139404296875
110,layer_14,0.038909912109375
111,layer_15,0.0853271484375
112,layer_16,0.094482421875
113,layer_17,0.0007243156433105469
114,layer_18,0.061187744140625
115,layer_19,0.142333984375
116,layer_20,0.042816162109375
117,layer_21,0.07318115234375
